14 |||  ||| 0.14 ||| OBJETIVO: Avaliar a eficácia e segurança do misoprostol administrado por via oral em comparação à infusão de oxitocina para a indução do trabalho de parto em gestantes a termo.,objetivo avaliar eficcia segurana misoprostol administrado por oral em comparao infuso de oxitocina para induo trabalho de parto em gestantes termo,G0000000|G0000000|G0000000|G0000000|C0085174|G0000000|C4048713|C0442027|G0000000|G0000000|G0000000|C0011198|G0000000|C0030563|G0000000|G0000000|C0011198|G0000000|G0000000|G0000000|G0000000
73 ||| Study population ||| 3.19 ||| All women were given standard postpartum care and discharged after 48 hours.,women standard postpartum care discharged 48 hours,C0043210|C1442989|C0086839|C1947933|C0030685|C0450371|C0439227
"32 ||| Introduction ||| 1.6 ||| Oxytocin and prostaglandins, such as misoprostol, are used for the induction of labor.",oxytocin prostaglandins misoprostol induction labor,C0030095|C0033554|C0085174|C0205263|C0022864
"26 |||  ||| 0.26 ||| Ensaio clínico registrado no Iranian Registry of Clinical Trials, number IRCT2012061910068N1.",ensaio clnico registrado iranian registry clinical trials irct2012061910068n1,G0000000|G0000000|G0000000|C1553355|C0034975|C0205210|C0008976|G0000000
"109 ||| Discussion ||| 7.9 ||| On the other hand, results of Fonseca's et al.",hand fonsecas al,C0018563|G0000000|C0202311
"6 |||  ||| 0.6 ||| The time from induction to delivery and induction to the beginning of the active phase and successful inductions within 12, 18, and 24 hours were recorded.",time induction delivery induction active phase successful inductions 12 18 24 hours recorded,C0040223|C0205263|C0011209|C0205263|C0205177|C0205390|C0597535|C0857127|C0450371|C0450371|C0450371|C0439227|C0034869
35 ||| Introduction ||| 1.9 ||| The usual method for inducing labor in our country is the use of oxytocin (Syntocinon) due to ethical-social concerns about the potential risk of abuse of misoprostol as an abortifacient drug.,usual method inducing labor country oxytocin syntocinon ethical-social concerns potential risk abuse misoprostol abortifacient drug,C3538928|C0025663|C0205263|C0022864|C0454664|C0030095|C0592155|C0026531|C2699424|C3245505|C0035647|C0013146|C0085174|C0000782|C0013227
5 |||  ||| 0.5 ||| The oxytocin group received an infusion of 10 IU which was gradually increased.,oxytocin received infusion 10 iu gradually increased,C0030095|C1514756|C0574032|C0450371|C0049272|G0000000|C0205217
125 ||| Discussion ||| 7.25 ||| Vaginal delivery is seen more frequently with misoprostol than oxytocin.,vaginal delivery frequently misoprostol oxytocin,C0042232|C0011209|C0332183|C0085174|C0030095
53 ||| Introduction ||| 1.27 ||| Sample size was determined after consideration of type1 statistical error <5%; and type2 statistical error <20%.,sample size determined consideration type1 statistical error <5% type2 statistical error <20%,C0370003|C0456389|G0000000|C0518609|G0000000|C0038215|C0743559|G0000000|G0000000|C0038215|C0743559|C0450371
12 |||  ||| 0.12 ||| Failure is seen less with misoprostol and caesarean sections are less frequently indicated as compared to oxytocin.,failure misoprostol caesarean sections frequently compared oxytocin,C0231174|C0085174|C3841297|C0152060|C0332183|C1707455|C0030095
"87 ||| Baseline characteristics ||| 6.10 ||| The primary parameters used to evaluate adverse events were the rate of cesarean section and its indication and serious maternal complications such as uterine hyperstimulation, uterine rupture, and placental abruption.",primary parameters evaluate adverse events rate cesarean indication maternal complications uterine hyperstimulation uterine rupture placental abruption,C0205225|C0449381|C0220825|G0000000|C0441471|C0871208|C3841297|C0392360|C2347083|C0009566|C0042149|G0000000|C0042149|C1881712|C0032043|G0000000
30 ||| Introduction ||| 1.4 ||| The benefits of labor induction must be weighed against the potential maternal and fetal risks associated with this procedure.,benefits labor induction weighed potential maternal fetal risks procedure,C0814225|C0022864|C0205263|G0000000|C3245505|C2347083|C0015965|C0035647|C0184661
"94 ||| Baseline characteristics ||| 6.17 ||| Except for the gastrointestinal symptoms, there were no statistically significant differences between the oxytocin and misoprostol patients groups in terms of other maternal complications (Table 3).",gastrointestinal symptoms statistically differences oxytocin misoprostol patients terms maternal complications table 3,C0521362|C0683368|C0038215|C1705241|C0030095|C0085174|C0030705|C0233324|C2347083|C0009566|C0039224|G0000000
"116 ||| Discussion ||| 7.16 ||| A shorter interval for oxytocin in comparison with misoprostol was also reported in another study (8.4±4.1 hours versus 11.3 ±6.9 hours, p<0.05) 17",shorter interval oxytocin comparison misoprostol reported study 8 44 1 hours versus 11 3 6 9 hours p<0 05 17,C1282927|C1272706|C0030095|C1707455|C0085174|C0684224|C0557651|G0000000|C0450371|G0000000|C0439227|G0000000|C0450371|G0000000|G0000000|G0000000|C0439227|C0369773|C0450371|C0450371
110 ||| Discussion ||| 7.10 ||| In another study 120 patients were enrolled in misoprostol (57 cases) and oxytocin (63 cases) groups.,study 120 patients enrolled misoprostol 57 oxytocin 63,C0557651|C1442061|C0030705|G0000000|C0085174|C0450371|C0030095|C0450371
"3 |||  ||| 0.3 ||| Twenty five patients were excluded for different reasons; and 260 included women were randomly assigned to one of the two groups according to the method of treatment, misoprostol or oxytocin.",twenty patients excluded reasons 260 included women randomly assigned method treatment misoprostol oxytocin,C0724000|C0030705|C1554077|C0392360|C1442061|C0332257|C0043210|G0000000|C1516050|C0025663|C0039798|C0085174|C0030095
"10 |||  ||| 0.10 ||| Maternal and fetal complications were comparable between groups except gastrointestinal symptoms which were encountered more frequently in the misoprostol (10.9 versus 3.9%, p=0.03).",maternal fetal complications comparable gastrointestinal symptoms encountered frequently misoprostol 10 9 versus 3 9% p=0 03,C2347083|C0015965|C0009566|G0000000|C0521362|C0683368|C0545082|C0332183|C0085174|C0450371|G0000000|G0000000|G0000000|G0000000|C0369773|C0450371
52 ||| Introduction ||| 1.26 ||| It was not possible to blind the study participants and personnel from knowledge of which intervention a participant received because both methods were clearly different.,blind study participants personnel knowledge intervention participant received methods,C0150108|C0557651|C0679646|C0024752|C0376554|C0886296|C0679646|C1514756|C0025663
56 ||| Study population ||| 3.2 ||| All patients provided an informed written consent; the study was approved by ethical committee of Shahid Beheshti University of Medical Sciences.,patients provided informed written consent study approved ethical committee shahid beheshti university medical sciences,C0030705|C1999230|C1522154|C0043266|C1511481|C0557651|C0205540|C0026531|C2699414|G0000000|G0000000|C0041740|C0199168|C0036397
"81 ||| Baseline characteristics ||| 6.4 ||| There was no significant difference between the groups regarding any of the studied parameters including age, nulliparity, gestational age, BMI, Bishop's score, premature rupture of membranes, and indication for labor induction.",difference studied parameters including age nulliparity gestational age bmi bishops score premature rupture membranes indication labor induction,C1705241|C0557651|C0449381|C0332257|C0001779|C0028641|C0439671|C0001779|G0000000|C0649610|C0449820|C0151526|C1881712|C0025255|C0392360|C0022864|C0205263
"63 ||| Study population ||| 3.9 ||| The practical strategies common to the administration of intravenous oxytocin or oral misoprostol solution were as follows: monitoring of FHR and intrapartum uterine activity was performed continuously; in the presence of any tachysystole or hypertonus, or changes in FHR associated with tachysystole or hypertonus, infusion rate was decreased or stopped; intravenous magnesium sulfate (4 g over 30 minutes) could be given at the discretion of the physician if uterine hyperstimulation occurred.",practical strategies common administration intravenous oxytocin oral misoprostol solution monitoring fhr intrapartum uterine activity performed continuously presence tachysystole hypertonus fhr tachysystole hypertonus infusion rate decreased stopped intravenous magnesium sulfate 4 30 minutes discretion physician uterine hyperstimulation occurred,G0000000|C0679199|C0205214|C0001554|C0348016|C0030095|C0442027|C0085174|C0037633|C0150369|G0000000|C0456337|C0042149|C0205177|C0884358|G0000000|C0150312|C2985339|C0026826|G0000000|C2985339|C0026826|C0574032|C0871208|C0205216|C1272691|C0348016|C0024467|C0038720|G0000000|C0450371|C0439232|G0000000|C0031831|C0042149|G0000000|C1709305
"47 ||| Introduction ||| 1.21 ||| Despite numerous reports on this issue, the question remains on efficacy and maternal/neonatal safety of oxytocin and misoprostol.",numerous reports issue question remains efficacy maternal/neonatal safety oxytocin misoprostol,C0439064|C0684224|C0033213|C1522634|G0000000|C1280519|C2347083|C0036043|C0030095|C0085174
"20 |||  ||| 0.20 ||| O ensaio foi registrado em irct.ir, número IRCT2012061910068N1.",ensaio foi registrado em irct ir nmero irct2012061910068n1,G0000000|C0086325|G0000000|G0000000|G0000000|C0022065|G0000000|G0000000
114 ||| Discussion ||| 7.14 ||| Fonseca et al.,fonseca al,G0000000|C0202311
"75 ||| Statistical analysis ||| 4.2 ||| Statistical analysis was performed using the SPSS 16.0 statistical software package (SPSS Inc, Chicago, IL, USA).",statistical analysis performed spss 16 0 statistical software package spss chicago il usa,C0038215|C0002778|C0884358|C3813609|C0450371|G0000000|C0038215|C0037585|C0013194|C3813609|C0008044|C0020898|C0041703
"60 ||| Study population ||| 3.6 ||| If contractions did not occur after 24 hours (twelve doses), no further misoprostol was given .",contractions occur 24 hours twelve doses misoprostol,C1140999|C1709305|C0450371|C0439227|C0205458|C0178602|C0085174
"31 ||| Introduction ||| 1.5 ||| When the benefits of expeditious delivery are greater than the risks of continuing the pregnancy, inducing labor can be justified as a therapeutic intervention 4 .",benefits expeditious delivery risks continuing pregnancy inducing labor justified therapeutic intervention 4,C0814225|C0015315|C0011209|C0035647|C0549178|C0032961|C0205263|C0022864|C1552821|C0087111|C0886296|G0000000
1 |||  ||| 0.1 ||| Indução do trabalho de parto por meio de solução oral titulada de misoprostol versus oxitocina em gestação a termo: estudo controlado randomizado Artigo Original Abstract PURPOSE: To evaluate the effectiveness and the safety of orally administered misoprostol in comparison to intravenously infused oxytocin for labor induction in term pregnant women.,induo trabalho de parto por meio de soluo oral titulada de misoprostol versus oxitocina em gestao termo estudo controlado randomizado artigo original abstract purpose evaluate effectiveness safety orally administered misoprostol comparison intravenously infused oxytocin labor induction term pregnant women,G0000000|G0000000|C0011198|G0000000|C4048713|G0000000|C0011198|G0000000|C0442027|G0000000|C0011198|C0085174|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0205313|C0000857|C1285529|C0220825|C1280519|C0036043|C0442027|C1521801|C0085174|C1707455|G0000000|G0000000|C0030095|C0022864|C0205263|C0233324|C0549206|C0043210
"8 |||  ||| 0.8 ||| RESULTS: Failure of induction, leading to caesarean section was around 38.3% in the oxytocin group and significantly higher than that of the misoprostol group (20.3%) (p<0.001).",failure induction leading caesarean 38 3% oxytocin misoprostol 20 3% p<0 001,C0231174|C0205263|C0332152|C3841297|C0450371|G0000000|C0030095|C0085174|C0450371|G0000000|C0369773|C1442061
"121 ||| Discussion ||| 7.21 ||| However, .",NULL,NULL
90 ||| Baseline characteristics ||| 6.13 ||| The most common indication for cesarean was lack of response to induction in both groups.,common indication cesarean lack response induction,C0205214|C0392360|C3841297|C0332268|C0871261|C0205263
"106 ||| Discussion ||| 7.6 ||| The cesarean section rate, latent period and period from induction to vaginal delivery were significantly lower for the misoprostol group other investigation is in favor of one method of induction.",cesarean rate latent period period induction vaginal delivery lower misoprostol investigation favor method induction,C3841297|C0871208|C0205275|C0439531|C0439531|C0205263|C0042232|C0011209|C0441994|C0085174|C0220825|C0309049|C0025663|C0205263
66 ||| Study population ||| 3.12 ||| Failure to progress was defined as the cervical dilation or fetal descent without any progress for 3 hours after entering the active labor phase as augmented by the agent.,failure progress defined cervical dilation fetal descent progress 3 hours entering active labor phase augmented agent,C0231174|C1272688|C1704788|C0027530|C0012359|C0015965|C0205386|C1272688|G0000000|C0439227|C1522196|C0205177|C0022864|C0205390|C0205217|C0450442
99 ||| Baseline characteristics ||| 6.22 ||| Only one patient (0.7%) in oxytocin group and none of the subjects in misoprostol group had meconium in amniotic fluid (p=1.0).,patient 0 7% oxytocin subjects misoprostol meconium amniotic fluid p=1 0,C0030705|G0000000|G0000000|C0030095|C0681850|C0085174|C0025047|C0002630|C0005889|C0369773|G0000000
"102 ||| Discussion ||| 7.2 ||| Many studies have stated the safety and feasibility, efficacy, stability, and low cost of the misoprostol for induction of labor at term with an unfavorable cervix Optimal dosing of misoprostol that will achieve effective induction without above mentioned side effects has been focused by many studies.",studies stated safety feasibility efficacy stability low cost misoprostol induction labor term unfavorable cervix optimal dosing misoprostol achieve effective induction mentioned effects focused studies,C0947630|C1301808|C0036043|G0000000|C1280519|C0205360|C0205251|C0010186|C0085174|C0205263|C0022864|C0233324|C3640815|C0007874|C2698651|G0000000|C0085174|G0000000|C1280519|C0205263|G0000000|C1280500|C0205234|C0947630
"18 |||  ||| 0.18 ||| O grupo tratado com oxitocina recebeu infusão de 10 UI, que foi aumentada gradativamente.",grupo tratado oxitocina recebeu infuso de 10 ui foi aumentada gradativamente,G0000000|G0000000|G0000000|G0000000|G0000000|C0011198|C0450371|C1421312|C0086325|G0000000|G0000000
100 ||| Baseline characteristics ||| 6.23 ||| No maternal and neonatal deaths occurred in either group.,maternal neonatal deaths occurred,C2347083|C1552240|C0011065|C1709305
"37 ||| Introduction ||| 1.11 ||| However, dosage of misoprostol, administration interval, administration route was different in published series withdraw from the study at any time without being denied the standard clinical care.",dosage misoprostol administration interval administration route published series withdraw study time denied standard clinical care,C0178602|C0085174|C0001554|C1272706|C0001554|C0013153|C0034037|C0205549|C2349954|C0557651|C0040223|C0332319|C1442989|C0205210|C1947933
70 ||| Study population ||| 3.16 ||| Tachysystole was defined as the presence of at least five contractions in a 10-minutes interval.,tachysystole defined presence contractions 10-minutes interval,C2985339|C1704788|C0150312|C1140999|C0450371|C1272706
"19 |||  ||| 0.19 ||| O tempo a partir da indução até o início da fase ativa e as induções bem-sucedidas dentro de 12, 18 e 24 horas foram registrados.",tempo partir da induo incio da fase ativa indues bem-sucedidas dentro de 12 18 24 horas foram registrados,C0876945|G0000000|C0011318|G0000000|G0000000|C0011318|G0000000|G0000000|G0000000|C0280106|G0000000|C0011198|C0450371|C0450371|C0450371|G0000000|C0599385|G0000000
61 ||| Study population ||| 3.7 ||| The maximum dose 10 was 300 µg.,maximum dose 10 300,C0806909|C0178602|C0450371|C1442061
91 ||| Baseline characteristics ||| 6.14 ||| Labor characteristics and delivery outcome data are summarized in Table 2.,labor characteristics delivery outcome data summarized table 2,C0022864|C1521970|C0011209|C1274040|C1511726|G0000000|C0039224|G0000000
39 ||| Introduction ||| 1.13 ||| The inclusion criteria were women aged 18 years or older with a gestational age of 38 to 42 weeks and a singleton pregnancy who had request for elective termination of pregnancy before 42 weeks of gestation or had medical indication for labor induction (hypertension and diabetes).,inclusion criteria women aged 18 gestational age 38 42 weeks singleton pregnancy request elective termination pregnancy 42 weeks gestation medical indication labor induction hypertension diabetes,C0007637|C0243161|C0043210|C0001779|C0450371|C0439671|C0001779|C0450371|C0450371|C0439230|C0481462|C0032961|C1272683|C0206058|C1549081|C0032961|C0450371|C0439230|C0032961|C0199168|C0392360|C0022864|C0205263|C0020538|C0011847
"16 |||  ||| 0.16 ||| Vinte e cinco pacientes foram excluídas por várias razões, e as 260 mulheres incluídas foram divididas aleatoriamente em dois grupos de acordo com o método de tratamento, misoprostol ou oxitocina.",vinte cinco pacientes foram excludas por vrias razes 260 mulheres includas foram divididas aleatoriamente em dois grupos de acordo mtodo de tratamento misoprostol ou oxitocina,G0000000|G0000000|G0000000|C0599385|G0000000|C4048713|G0000000|G0000000|C1442061|G0000000|G0000000|C0599385|G0000000|G0000000|G0000000|C2348291|G0000000|C0011198|G0000000|G0000000|C0011198|G0000000|C0085174|C0229118|G0000000
"124 ||| Discussion ||| 7.24 ||| According to the results obtained in this clinical trial, the orally administered misoprostol could be mentioned as safe and effective as to intravenously infused oxytocin for labor induction in term pregnant women.",clinical trial orally administered misoprostol mentioned safe effective intravenously infused oxytocin labor induction term pregnant women,C0205210|C0008976|C0442027|C1521801|C0085174|G0000000|G0000000|C1280519|G0000000|G0000000|C0030095|C0022864|C0205263|C0233324|C0549206|C0043210
76 ||| Statistical analysis ||| 4.3 ||| Time intervals were analyzed with Mann-Whitney U test and other data were analyzed with the χ 2 for qualitative and Student's t-test for quantitative variables.,time intervals analyzed mann-whitney test data analyzed 2 qualitative students t-test quantitative variables,C0040223|C1272706|C0936012|G0000000|C0022885|C1511726|C0936012|G0000000|C0205556|C0038492|C0871472|C0392762|C0439828
"9 |||  ||| 0.9 ||| Despite the more prevalent failure in the oxytocin group, the mean time intervals from induction to active phase and labor of this group were both significantly less than the misoprostol group (10.1±6.1 and 13.2±7.7 versus 12.9±5.4 and 15.6±5.1 hours respectively, both p-values were <0.05).",prevalent failure oxytocin time intervals induction active phase labor misoprostol 10 16 1 13 27 7 versus 12 95 4 15 65 1 hours p-values <0 05,C0033105|C0231174|C0030095|C0040223|C1272706|C0205263|C0205177|C0205390|C0022864|C0085174|C0450371|C0450371|G0000000|C0450371|C0450371|G0000000|G0000000|C0450371|C0450371|G0000000|C0450371|C0450371|G0000000|C0439227|C1709380|G0000000|C0450371
97 ||| Baseline characteristics ||| 6.20 ||| Fourteen patients (10.9%) in misoprostol group and 16 subjects (12.5%) in oxytocin group had fetal tachycardia (p=0.07).,fourteen patients 10 9% misoprostol 16 subjects 12 5% oxytocin fetal tachycardia p=0 07,C3715152|C0030705|C0450371|G0000000|C0085174|C0450371|C0681850|C0450371|G0000000|C0030095|C0015965|C0039231|C0369773|C0450371
"21 |||  ||| 0.21 ||| RESULTADOS: A falha de indução levando à necessidade de cesariana foi de aproximadamente 38.3% no grupo tratado com oxitocina, sendo significativamente maior em relação ao grupo tratado com misoprostol (20,3%) (p<0,001).",resultados falha de induo levando necessidade de cesariana foi de aproximadamente 38 3% grupo tratado oxitocina sendo significativamente maior em relao ao grupo tratado misoprostol 20 3% p<0 001,G0000000|G0000000|C0011198|G0000000|G0000000|G0000000|C0011198|G0000000|C0086325|C0011198|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0085174|C0450371|G0000000|C0369773|C1442061
"65 ||| Study population ||| 3.11 ||| Contractions with regular intervals which resulted in progressive cervical dilatation, effacement were considered effective in induction of labor.",contractions regular intervals progressive cervical dilatation effacement considered effective induction labor,C1140999|C0205272|C1272706|C0205329|C0027530|C0012359|C0552443|C0750591|C1280519|C0205263|C0022864
50 ||| Introduction ||| 1.24 ||| Patients were randomly assigned to one of two groups according to the method of treatment: oxytocin or misoprostol.,patients randomly assigned method treatment oxytocin misoprostol,C0030705|G0000000|C1516050|C0025663|C0039798|C0030095|C0085174
51 ||| Introduction ||| 1.25 ||| Randomization was carried out using computer-generated simple random tables in a 1:1 ratio.,randomization carried computer-generated simple random tables 1 1 ratio,C0034656|C0206243|C0009622|C0205352|C0034656|C0039224|G0000000|G0000000|C0456603
"98 ||| Baseline characteristics ||| 6.21 ||| Admission in neonatal intensive care unit was seen more frequently in oxytocin group (3.9%) than in misoprostol group (0.7%); however, this difference was not statistically significant (p=0.02).",admission neonatal intensive care unit frequently oxytocin 3 9% misoprostol 0 7% difference statistically p=0 02,C0184666|C1552240|C0162425|C1947933|C0439148|C0332183|C0030095|G0000000|G0000000|C0085174|G0000000|G0000000|C1705241|C0038215|C0369773|C0450371
57 ||| Study population ||| 3.3 ||| Women were assured that they had the right to refuse to participate and/or Initiation of labor induction was the time at which the first misoprostol dose was administered or the oxytocin infusion was started.,women assured refuse participate and/or initiation labor induction time misoprostol dose administered oxytocin infusion started,C0043210|G0000000|C0017095|G0000000|G0000000|C0589507|C0022864|C0205263|C0040223|C0085174|C0178602|C1521801|C0030095|C0574032|C1272689
93 ||| Baseline characteristics ||| 6.16 ||| Maternal complications,maternal complications,C2347083|C0009566
"119 ||| Discussion ||| 7.19 ||| The average time interval of drug prescription to vaginal delivery is related to the dose, route and administration interval of misoprostol or oxytocin in concurrence with favorable cervices for induction or previous administration of dinoprostone in pregnant women 14 .",average time interval drug prescription vaginal delivery dose route administration interval misoprostol oxytocin concurrence favorable cervices induction previous administration dinoprostone pregnant women 14,C1510992|C0040223|C1272706|C0013227|C0033080|C0042232|C0011209|C0178602|C0013153|C0001554|C1272706|C0085174|C0030095|C0205420|C3640814|C0007874|C0205263|C0205156|C0001554|C0012472|C0549206|C0043210|C0450371
101 ||| Discussion ||| 7.1 ||| Oxytocin and misoprostol are the most common drugs used for the induction of labor 2 .,oxytocin misoprostol common drugs induction labor 2,C0030095|C0085174|C0205214|C0013227|C0205263|C0022864|G0000000
38 ||| Introduction ||| 1.12 ||| Twenty-five patients were excluded for different reasons; 260 were included in the study.,twenty-five patients excluded reasons 260 included study,C3715062|C0030705|C1554077|C0392360|C1442061|C0332257|C0557651
64 ||| Study population ||| 3.10 ||| The active phase was defined as achieving adequate uterine contractions with cervical dilatation greater than 3 cm.,active phase defined achieving adequate uterine contractions cervical dilatation 3 cm,C0205177|C0205390|C1704788|G0000000|C0205410|C0042149|C1140999|C0027530|C0012359|G0000000|G0000000
71 ||| Study population ||| 3.17 ||| Hyperstimulation was defined as tachysystole or hypertonus with nonreassuring FHR changes.,hyperstimulation defined tachysystole hypertonus nonreassuring fhr,G0000000|C1704788|C2985339|C0026826|G0000000|G0000000
77 ||| Statistical analysis ||| 4.4 ||| A p-value of 0.05 was considered significant.,p-value 0 05 considered,C1709380|G0000000|C0450371|C0750591
92 ||| Baseline characteristics ||| 6.15 ||| Neonatal outcomes,neonatal outcomes,C1552240|C1274040
123 ||| Discussion ||| 7.23 ||| Inability to design a double blind clinical trial due to the different rout of drug administration was a major limitation of our study.,inability design double blind clinical trial rout drug administration major limitation study,G0000000|C1707689|C0205173|C0150108|C0205210|C0008976|G0000000|C0013227|C0001554|C0205082|C0449295|C0557651
"58 ||| Study population ||| 3.4 ||| In the oxytocin group, infusion rate of 2 mIU/min was prescribed for induction and gradually increased by 2 mIU/min every 15 minutes to a maximum dose of 36 mIU/min until adequate uterine contractions were attained.",oxytocin infusion rate 2 miu/min prescribed induction gradually increased 2 miu/min 15 minutes maximum dose 36 miu/min adequate uterine contractions attained,C0030095|C0574032|C0871208|G0000000|C0439455|C0278329|C0205263|G0000000|C0205217|G0000000|C0439455|C0450371|C0439232|C0806909|C0178602|C0450371|C0439455|C0205410|C0042149|C1140999|G0000000
29 ||| Introduction ||| 1.3 ||| Uterine contractions and an appropriate cervical ripening cervix are two important factors in labor contributing to good pregnancy outcomes 3 .,uterine contractions cervical ripening cervix factors labor contributing pregnancy outcomes 3,C0042149|C1140999|C0027530|C1160534|C0007874|C1521761|C0022864|C1880177|C0032961|C1274040|G0000000
117 ||| Discussion ||| 7.17 ||| 18,18,C0450371
"40 ||| Introduction ||| 1.14 ||| Additional criteria for enrollment were birth weight of maximally 4.000 gram, normal fetal heart rate, cephalic presentation, lack of uterine contractures, and Bishop's score of 6 or less.",additional criteria enrollment birth weight maximally 4 000 gram normal fetal heart rate cephalic presentation lack uterine contractures bishops score 6,C1524062|C0243161|C1516879|C0005615|C0005910|G0000000|G0000000|C1442061|C0439208|C0205307|C0015965|C0018787|C0871208|C0205096|C0449450|C0332268|C0042149|C0009917|C0649610|C0449820|G0000000
68 ||| Study population ||| 3.14 ||| Cesarean section was performed if hyperstimulation syndrome or fetal hypoxia (thick meconium and/or fetal monitoring alteration) were present and if induction was failed.,cesarean performed hyperstimulation syndrome fetal hypoxia thick meconium and/or fetal monitoring alteration induction failed,C3841297|C0884358|G0000000|C0039082|C0015965|C0242184|C1280412|C0025047|G0000000|C0015965|C0150369|C1515926|C0205263|C0231175
107 ||| Discussion ||| 7.7 ||| In a recent research among 240 pregnant women it was revealed that mean induction-to-vaginal delivery time with misoprostol was shorter than Foley catheter and oxytocin (17.3 versus 20.2 hours) 19 .,240 pregnant women revealed induction-to-vaginal delivery time misoprostol shorter foley catheter oxytocin 17 3 versus 20 2 hours 19,C1442061|C0549206|C0043210|C0443289|C0205263|C0011209|C0040223|C0085174|C1282927|G0000000|C0085590|C0030095|C0450371|G0000000|G0000000|C0450371|G0000000|C0439227|C0450371
